,bead_diameter,fsa,nanoparticle_radius,chainlength,chain_density,coating_pattern,statepoint,status,sasa,signac_id,root
0062fb4e5297c77cf1930a1081b55adc,0.6,0.35,2.5,9,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'0062fb4e5297c77cf1930a1081b55adc-initialize': 1, '0062fb4e5297c77cf1930a1081b55adc-log_sasa': 1, '0062fb4e5297c77cf1930a1081b55adc-calc_sasa': 1, '0062fb4e5297c77cf1930a1081b55adc-equilibrate': 1}",6.374204054,0062fb4e5297c77cf1930a1081b55adc,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
01e4e9afd913c739a279efe79a71bb17,0.6,0.65,2.5,10,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'01e4e9afd913c739a279efe79a71bb17-equilibrate': 1, '01e4e9afd913c739a279efe79a71bb17-initialize': 1, '01e4e9afd913c739a279efe79a71bb17-log_sasa': 1, '01e4e9afd913c739a279efe79a71bb17-calc_sasa': 1}",9.444415665,01e4e9afd913c739a279efe79a71bb17,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
03b2df78d326a6ac04a683c5a006d5e1,0.6,0.15,2.5,11,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'03b2df78d326a6ac04a683c5a006d5e1-calc_sasa': 1, '03b2df78d326a6ac04a683c5a006d5e1-initialize': 1, '03b2df78d326a6ac04a683c5a006d5e1-log_sasa': 1, '03b2df78d326a6ac04a683c5a006d5e1-equilibrate': 1}",0.663592066,03b2df78d326a6ac04a683c5a006d5e1,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
044769366b1fef48f7789764c3740fd6,0.6,0.65,2.5,5,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 15, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'044769366b1fef48f7789764c3740fd6-calc_sasa': 1, '044769366b1fef48f7789764c3740fd6-equilibrate': 1, '044769366b1fef48f7789764c3740fd6-log_sasa': 1, '044769366b1fef48f7789764c3740fd6-initialize': 1}",18.65195576,044769366b1fef48f7789764c3740fd6,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
05c7cc233735d27e4f99ccc65fe7eb5a,0.6,0.3,2.5,6,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.30000000000000004, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'05c7cc233735d27e4f99ccc65fe7eb5a-calc_sasa': 1, '05c7cc233735d27e4f99ccc65fe7eb5a-log_sasa': 1, '05c7cc233735d27e4f99ccc65fe7eb5a-initialize': 1, '05c7cc233735d27e4f99ccc65fe7eb5a-equilibrate': 1}",3.658767228,05c7cc233735d27e4f99ccc65fe7eb5a,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
063226d9748132e85216d7be474b916b,0.6,0.35,2.5,11,3.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 3.5, 'coating_pattern': 'bipolar'}","{'063226d9748132e85216d7be474b916b-calc_sasa': 1, '063226d9748132e85216d7be474b916b-log_sasa': 1, '063226d9748132e85216d7be474b916b-equilibrate': 1, '063226d9748132e85216d7be474b916b-initialize': 1}",3.492966857,063226d9748132e85216d7be474b916b,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0665c74cd89a4685a926c59aba4e6b42,0.6,0.55,2.5,8,3.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 3.5, 'coating_pattern': 'bipolar'}","{'0665c74cd89a4685a926c59aba4e6b42-calc_sasa': 1, '0665c74cd89a4685a926c59aba4e6b42-initialize': 1, '0665c74cd89a4685a926c59aba4e6b42-log_sasa': 1, '0665c74cd89a4685a926c59aba4e6b42-equilibrate': 1}",10.09314199,0665c74cd89a4685a926c59aba4e6b42,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
069fb9536a749c8c8f7f42347b613b9c,0.6,0.35,2.5,11,2,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'069fb9536a749c8c8f7f42347b613b9c-equilibrate': 1, '069fb9536a749c8c8f7f42347b613b9c-log_sasa': 1, '069fb9536a749c8c8f7f42347b613b9c-calc_sasa': 1, '069fb9536a749c8c8f7f42347b613b9c-initialize': 1}",7.027704115,069fb9536a749c8c8f7f42347b613b9c,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0709e175c4e4d02c3cba045b76f7cc21,0.6,0.65,2.5,11,3.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 3.5, 'coating_pattern': 'bipolar'}","{'0709e175c4e4d02c3cba045b76f7cc21-calc_sasa': 1, '0709e175c4e4d02c3cba045b76f7cc21-log_sasa': 1, '0709e175c4e4d02c3cba045b76f7cc21-equilibrate': 1, '0709e175c4e4d02c3cba045b76f7cc21-initialize': 1}",9.457005825,0709e175c4e4d02c3cba045b76f7cc21,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
07421904f18a44b38d45e1b4235c9cf6,0.6,0.4,2.5,11,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'07421904f18a44b38d45e1b4235c9cf6-equilibrate': 1, '07421904f18a44b38d45e1b4235c9cf6-initialize': 1, '07421904f18a44b38d45e1b4235c9cf6-log_sasa': 1, '07421904f18a44b38d45e1b4235c9cf6-calc_sasa': 1}",2.999203291,07421904f18a44b38d45e1b4235c9cf6,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
