,Unnamed: 0,bead_diameter,fsa,nanoparticle_radius,chainlength,chain_density,coating_pattern,statepoint,status,sasa,signac_id,root,Radius of Gyration (nm),Asphericity
458,dbce84615c840806f050d1e61971964d,0.6,0.5500000000000002,2.5,21,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'dbce84615c840806f050d1e61971964d-equilibrate': 1, 'dbce84615c840806f050d1e61971964d-calc_sasa': 1, 'dbce84615c840806f050d1e61971964d-initialize': 1, 'dbce84615c840806f050d1e61971964d-log_sasa': 1}",14.4003200340271,dbce84615c840806f050d1e61971964d,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.103084768263935,0.023144386601421176
459,dbe8b155781770f51d5b5d759242a587,0.6,0.30000000000000004,2.5,21,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.30000000000000004, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'dbe8b155781770f51d5b5d759242a587-calc_sasa': 1, 'dbe8b155781770f51d5b5d759242a587-equilibrate': 1, 'dbe8b155781770f51d5b5d759242a587-log_sasa': 1, 'dbe8b155781770f51d5b5d759242a587-initialize': 1}",6.5121972942352295,dbe8b155781770f51d5b5d759242a587,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.511847555714704,0.014696017489575478
460,dd38647c56a67250b872db3e9a6c9fb8,0.6,0.15,2.5,24,5.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'dd38647c56a67250b872db3e9a6c9fb8-equilibrate': 1, 'dd38647c56a67250b872db3e9a6c9fb8-calc_sasa': 1, 'dd38647c56a67250b872db3e9a6c9fb8-log_sasa': 1, 'dd38647c56a67250b872db3e9a6c9fb8-initialize': 1}",0.4660195314884186,dd38647c56a67250b872db3e9a6c9fb8,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,8.87176749973717,0.0038845577535825924
461,dd9c888ce9434d5565168205c30886a2,0.6,0.4000000000000001,2.5,21,4.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'dd9c888ce9434d5565168205c30886a2-initialize': 1, 'dd9c888ce9434d5565168205c30886a2-calc_sasa': 1, 'dd9c888ce9434d5565168205c30886a2-equilibrate': 1, 'dd9c888ce9434d5565168205c30886a2-log_sasa': 1}",6.0235611248016365,dd9c888ce9434d5565168205c30886a2,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.843538623506677,0.02354788434454736
462,ddad8d1dda9b633a4285099df6dea5a9,0.6,0.2,2.5,21,3.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.2, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'ddad8d1dda9b633a4285099df6dea5a9-log_sasa': 1, 'ddad8d1dda9b633a4285099df6dea5a9-equilibrate': 1, 'ddad8d1dda9b633a4285099df6dea5a9-initialize': 1, 'ddad8d1dda9b633a4285099df6dea5a9-calc_sasa': 1}",3.281483330726624,ddad8d1dda9b633a4285099df6dea5a9,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.873225553988572,0.007512008154734148
463,ddb581455c559b4775853bcf877442c1,0.6,0.30000000000000004,2.5,18,2.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.30000000000000004, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'ddb581455c559b4775853bcf877442c1-calc_sasa': 1, 'ddb581455c559b4775853bcf877442c1-log_sasa': 1, 'ddb581455c559b4775853bcf877442c1-equilibrate': 1, 'ddb581455c559b4775853bcf877442c1-initialize': 1}",13.208500995635989,ddb581455c559b4775853bcf877442c1,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.063241084670442,0.01439235634814941
464,de2b7b6d8c94743a7d4dc2b6bdab1611,0.6,0.3500000000000001,2.5,24,2.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'de2b7b6d8c94743a7d4dc2b6bdab1611-initialize': 1, 'de2b7b6d8c94743a7d4dc2b6bdab1611-log_sasa': 1, 'de2b7b6d8c94743a7d4dc2b6bdab1611-equilibrate': 1, 'de2b7b6d8c94743a7d4dc2b6bdab1611-calc_sasa': 1}",9.652621078491213,de2b7b6d8c94743a7d4dc2b6bdab1611,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.406687455078486,0.012412754406395905
465,de3d689545281e3cde8fb683b6f690f5,0.6,0.5500000000000002,2.5,21,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'de3d689545281e3cde8fb683b6f690f5-calc_sasa': 1, 'de3d689545281e3cde8fb683b6f690f5-log_sasa': 1, 'de3d689545281e3cde8fb683b6f690f5-initialize': 1, 'de3d689545281e3cde8fb683b6f690f5-equilibrate': 1}",9.740614528656003,de3d689545281e3cde8fb683b6f690f5,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,7.643401948459687,0.03628810548772605
466,ded21cdef8a963e8218e49e9e16a738a,0.6,0.3500000000000001,2.5,30,3.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 3.5, 'coating_pattern': 'bipolar'}","{'ded21cdef8a963e8218e49e9e16a738a-equilibrate': 1, 'ded21cdef8a963e8218e49e9e16a738a-initialize': 1, 'ded21cdef8a963e8218e49e9e16a738a-calc_sasa': 1, 'ded21cdef8a963e8218e49e9e16a738a-log_sasa': 1}",3.5544025325775146,ded21cdef8a963e8218e49e9e16a738a,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,8.807122189520225,0.023869193561211817
467,df2215dad1b5bb9f10062ac9205753e6,0.6,0.3500000000000001,2.5,27,3.0,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'df2215dad1b5bb9f10062ac9205753e6-log_sasa': 1, 'df2215dad1b5bb9f10062ac9205753e6-initialize': 1, 'df2215dad1b5bb9f10062ac9205753e6-calc_sasa': 1, 'df2215dad1b5bb9f10062ac9205753e6-equilibrate': 1}",4.326907467842102,df2215dad1b5bb9f10062ac9205753e6,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace,8.268292701046532,0.020917258221262607
